check_id	result	detail	artifact
BL076-R1-BP-003	PASS	bridge payload includes nativeBridgeDiagnostics object	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R1-BP-004	PASS	UI parser checks native bridge diagnostics schema key	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R1-BP-005	PASS	UI parser ingests snapshotSchema contract key	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R1-BP-signature-hash	PASS	baseline bridge signature hash=ec11c5b3b29a988a391df000a853ca6eb7dafd490c9056c746307417c7309e4e	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R2-SG-001	PASS	SpatialRenderer.h lines=982 <= 5000	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-SG-002	PASS	module files=10	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-SG-003	PASS	SpatialRenderer.h includes SpatialRendererTypes.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-SG-004	PASS	SpatialRenderer.h includes SpatialProfileRouter.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-BL076-SG-H-SpatialAuditionEngine.h	PASS	SpatialAuditionEngine.h lines=200 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-BL076-SG-H-SpatialAuditionPrimitives.h	PASS	SpatialAuditionPrimitives.h lines=183 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R2-BL076-SG-H-SpatialEmitterRenderPass.h	PASS	SpatialEmitterRenderPass.h lines=88 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
